movie_name,category,movie_rate,description,country,date,duration,movie_link
The Clean Up Crew,"Action, Comedy, Crime",4.6,"When a crime scene clean up crew discovers a briefcase full of money, they must out smart a criminal kingpin and corrupt FBI agents who want it back.","Ireland, United States of America",2024,95min,https://goku.sx/movie/watch-the-clean-up-crew-112975
Love in Wolf Creek,"TV Movie, Romance",6.1,Sam sets out to save a pack of wild wolves and a conservation refuge with the help of the town's handsome newcomer.,"Canada, United States of America",2022,90min,https://goku.sx/movie/watch-love-in-wolf-creek-112969
Peter Five Eight,"Thriller, Comedy, Drama",6.4,"Sam, a seemingly poised and glamorous real estate agent in a small mountain community, is revealed to be an unhinged and troubled alcoholic with a dark secret, when a charismatic man named Peter shows up in town one day. As she tries to keep her life from unravelling, an older co-worker named Brenda is targeted by Peter for information at the behest of his powerful and shadowy boss, Mr. Lock.",United States of America,2024,100min,https://goku.sx/movie/watch-peter-five-eight-107614
Sk8face,Documentary,8.1,"Tells the history of skateboard art and its evolution through the decades, as iconic and rebellious skateboarders and artists give firsthand experiences and stories about their art that challenged the establishment.",United States of America,2024,79min,https://goku.sx/movie/watch-sk8face-112951
Firecracker,"Thriller, Action",3.8,"When a heist goes dramatically wrong, leaving a hostage in peril, an unlikely trio find themselves fighting for their lives and their sanity on bonfire night.",United Kingdom,2024,107min,https://goku.sx/movie/watch-firecracker-112948
Inside Out 2,"Animation, Family, Drama, Adventure, Comedy",8,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",United States of America,2024,97min,https://goku.sx/movie/watch-inside-out-2-110170
The Union,"Action, Comedy",5.5,A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,United States of America,2024,109min,https://goku.sx/movie/watch-the-union-112837
Gunner,"Action, Thriller, Crime",3.3,"While on a camping trip in order to reconnect, war veteran Colonel Lee Gunner must save his two sons from a gang of violent bikers when they're kidnapped after accidentally stumbling upon to a massive drug operation.",United States of America,2024,90min,https://goku.sx/movie/watch-gunner-112819
Dance First,"History, Drama",6.1,"Parisian bon vivant, World War II Resistance fighter, Nobel Prize-winning playwright, philandering husband and recluse…Samuel Beckett lived a life of many parts. Titled after Beckett’s famous ethos “Dance first, think later”, the film is a sweeping account of the life of this 20th-century icon.","Belgium, Hungary, United Kingdom",2023,100min,https://goku.sx/movie/watch-dance-first-112816
Crescent City,"Crime, Thriller, Action",3.8,"A small town in the south is ravaged by a serial killer, with everyone being a suspect including the police.",United States of America,2024,103min,https://goku.sx/movie/watch-crescent-city-112813
The Duel,"Comedy, Drama",4.4,"When Woody finds out his best friend has been sleeping with his girlfriend, he challenges him to a duel, taking their friend group across the border to a mysterious and stunning estate.",United States of America,2024,99min,https://goku.sx/movie/watch-the-duel-112774
Jackpot!,"Action, Comedy",5.8,"In the near future, a 'Grand Lottery' has been established - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot. When Katie Kim mistakenly finds herself with the winning ticket, she reluctantly joins forces with amateur lottery protection agent Noel Cassidy who must get her to sundown in exchange for a piece of her prize.",United States of America,2024,106min,https://goku.sx/movie/watch-jackpot-112720
The Beast Within,Horror,4.2,"Follows a ten-year-old girl as she starts to question her atypical life in her family's fortified compound in rural England, ultimately discovering that once a month, her father turns into a monster.",United Kingdom,2024,97min,https://goku.sx/movie/watch-the-beast-within-112000
Watchmen: Chapter I,"Animation, Mystery, Science Fiction, Action",7.1,"In an alternate world history shaped by superheroes, once-celebrated ""costumed adventurers"" have been banned by a society disenchanted with vigilantism. Now, in 1985, the murder of The Comedian, a hero-turned-government operative, draws the attention of Rorschach, the last of the outlawed vigilantes. Rorschach’s investigation embroils his retired colleagues, Nite Owl, Silk Spectre, Dr. Manhattan and Ozymandias, in conflict with their pasts, with each other and in a mystery that threatens their lives and a world on the brink of war.",United States of America,2024,84min,https://goku.sx/movie/watch-watchmen-chapter-i-112666
We Are Zombies,"Horror, Comedy, Thriller",5.5,In a city infested with the LIVING-IMPAIRED aka non-cannibal zombies - three slackers after easy money must fight small-time crooks and an evil megacorporation to save their kidnapped grandma.,"Canada, France",2024,80min,https://goku.sx/movie/watch-we-are-zombies-112663
Fly Me to the Moon,"Comedy, Romance",?,"Sparks fly in all directions as marketing maven Kelly Jones, brought in to fix NASA's public image, wreaks havoc on Apollo 11 launch director Cole Davis' already difficult task of putting a man on the moon. When the White House deems the mission too important to fail, Jones is directed to stage a fake moon landing as backup, and the countdown truly begins.",United States of America,2024,132min,https://goku.sx/movie/watch-fly-me-to-the-moon-111118
The Cursed,Horror,5.4,"After divorcing her husband, ""Alice"" has to take on the full duties of motherhood as a single person. In caring for a son like ""August"" A high school boy who grew up questioning his father about his background. On the day August turns 15, some mysterious promises from the past begin to follow him gradually. His father's broken orders before he died became the trigger for August's death. Witness the horrors of Manohrah's mysticism trying to draw him back to his own retribution. Alice, who believes in reason and right, must do everything she can to keep her only son.",Thailand,2024,94min,https://goku.sx/movie/watch-the-cursed-112624
Twisters,"Action, Thriller, Adventure",6.8,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",United States of America,2024,122min,https://goku.sx/movie/watch-twisters-111355
Oversize Love,"Romance, Comedy",5.4,"A fat girl with cheerful and generous personality gets caught between her feeling for her childhood sweetheart and a famous idol, after an unexpected appearance change.",China,2020,103min,https://goku.sx/movie/watch-oversize-love-112546
The Instigators,"Crime, Comedy",6.2,"Rory and Cobby are unlikely partners thrown together for a heist. But when it goes awry, they team up to outrun police, backward bureaucrats, and a vengeful crime boss.",United States of America,2024,101min,https://goku.sx/movie/watch-the-instigators-112504
One Fast Move,"Action, Drama, Romance",4.9,"A dishonorably discharged soldier seeks out his estranged father to help him pursue his dream of becoming a professional motorcycle racer. While training, he meets a small-town, aspiring singer and a motorcycle shop owner who begin to break down the walls his father’s absence had built up.",United States of America,2024,107min,https://goku.sx/movie/watch-one-fast-move-112456
The Shakedown,"Crime, Comedy",5,"When his mistress threatens to expose the secret of their affair, a respected insurance broker seeks the help of his underworld brother to save his reputation.",South Africa,2024,104min,https://goku.sx/movie/watch-the-shakedown-112453
Perra Vida,"Comedy, Romance",5.4,"Romina, a controlling lawyer, wants her daughter's affection. She offers rent for a recovering alcoholic's dog in exchange for a fake boyfriend role. Unexpectedly, it might turn real.",N/A,2024,108min,https://goku.sx/movie/watch-perra-vida-112450
Lolo and the Kid,Drama,6.4,A hustler and the child he took in routinely con the wealthy — but a life-changing opportunity could end their inseparable bond.,United States of America,2024,97min,https://goku.sx/movie/watch-lolo-and-the-kid-112447
The Clean Up Crew,"Action, Comedy, Crime",4.6,"When a crime scene clean up crew discovers a briefcase full of money, they must out smart a criminal kingpin and corrupt FBI agents who want it back.","Ireland, United States of America",2024,95min,https://goku.sx/movie/watch-the-clean-up-crew-112975
Love in Wolf Creek,"TV Movie, Romance",6.1,Sam sets out to save a pack of wild wolves and a conservation refuge with the help of the town's handsome newcomer.,"Canada, United States of America",2022,90min,https://goku.sx/movie/watch-love-in-wolf-creek-112969
Peter Five Eight,"Thriller, Comedy, Drama",6.4,"Sam, a seemingly poised and glamorous real estate agent in a small mountain community, is revealed to be an unhinged and troubled alcoholic with a dark secret, when a charismatic man named Peter shows up in town one day. As she tries to keep her life from unravelling, an older co-worker named Brenda is targeted by Peter for information at the behest of his powerful and shadowy boss, Mr. Lock.",United States of America,2024,100min,https://goku.sx/movie/watch-peter-five-eight-107614
Sk8face,Documentary,8.1,"Tells the history of skateboard art and its evolution through the decades, as iconic and rebellious skateboarders and artists give firsthand experiences and stories about their art that challenged the establishment.",United States of America,2024,79min,https://goku.sx/movie/watch-sk8face-112951
Firecracker,"Thriller, Action",3.8,"When a heist goes dramatically wrong, leaving a hostage in peril, an unlikely trio find themselves fighting for their lives and their sanity on bonfire night.",United Kingdom,2024,107min,https://goku.sx/movie/watch-firecracker-112948
Inside Out 2,"Animation, Family, Drama, Adventure, Comedy",8,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",United States of America,2024,97min,https://goku.sx/movie/watch-inside-out-2-110170
The Union,"Action, Comedy",5.5,A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,United States of America,2024,109min,https://goku.sx/movie/watch-the-union-112837
Gunner,"Action, Thriller, Crime",3.3,"While on a camping trip in order to reconnect, war veteran Colonel Lee Gunner must save his two sons from a gang of violent bikers when they're kidnapped after accidentally stumbling upon to a massive drug operation.",United States of America,2024,90min,https://goku.sx/movie/watch-gunner-112819
Dance First,"History, Drama",6.1,"Parisian bon vivant, World War II Resistance fighter, Nobel Prize-winning playwright, philandering husband and recluse…Samuel Beckett lived a life of many parts. Titled after Beckett’s famous ethos “Dance first, think later”, the film is a sweeping account of the life of this 20th-century icon.","Belgium, Hungary, United Kingdom",2023,100min,https://goku.sx/movie/watch-dance-first-112816
Crescent City,"Crime, Thriller, Action",3.8,"A small town in the south is ravaged by a serial killer, with everyone being a suspect including the police.",United States of America,2024,103min,https://goku.sx/movie/watch-crescent-city-112813
The Duel,"Comedy, Drama",4.4,"When Woody finds out his best friend has been sleeping with his girlfriend, he challenges him to a duel, taking their friend group across the border to a mysterious and stunning estate.",United States of America,2024,99min,https://goku.sx/movie/watch-the-duel-112774
Jackpot!,"Action, Comedy",5.8,"In the near future, a 'Grand Lottery' has been established - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot. When Katie Kim mistakenly finds herself with the winning ticket, she reluctantly joins forces with amateur lottery protection agent Noel Cassidy who must get her to sundown in exchange for a piece of her prize.",United States of America,2024,106min,https://goku.sx/movie/watch-jackpot-112720
The Beast Within,Horror,4.2,"Follows a ten-year-old girl as she starts to question her atypical life in her family's fortified compound in rural England, ultimately discovering that once a month, her father turns into a monster.",United Kingdom,2024,97min,https://goku.sx/movie/watch-the-beast-within-112000
Watchmen: Chapter I,"Animation, Mystery, Science Fiction, Action",7.1,"In an alternate world history shaped by superheroes, once-celebrated ""costumed adventurers"" have been banned by a society disenchanted with vigilantism. Now, in 1985, the murder of The Comedian, a hero-turned-government operative, draws the attention of Rorschach, the last of the outlawed vigilantes. Rorschach’s investigation embroils his retired colleagues, Nite Owl, Silk Spectre, Dr. Manhattan and Ozymandias, in conflict with their pasts, with each other and in a mystery that threatens their lives and a world on the brink of war.",United States of America,2024,84min,https://goku.sx/movie/watch-watchmen-chapter-i-112666
We Are Zombies,"Horror, Comedy, Thriller",5.5,In a city infested with the LIVING-IMPAIRED aka non-cannibal zombies - three slackers after easy money must fight small-time crooks and an evil megacorporation to save their kidnapped grandma.,"Canada, France",2024,80min,https://goku.sx/movie/watch-we-are-zombies-112663
Fly Me to the Moon,"Comedy, Romance",?,"Sparks fly in all directions as marketing maven Kelly Jones, brought in to fix NASA's public image, wreaks havoc on Apollo 11 launch director Cole Davis' already difficult task of putting a man on the moon. When the White House deems the mission too important to fail, Jones is directed to stage a fake moon landing as backup, and the countdown truly begins.",United States of America,2024,132min,https://goku.sx/movie/watch-fly-me-to-the-moon-111118
The Cursed,Horror,5.4,"After divorcing her husband, ""Alice"" has to take on the full duties of motherhood as a single person. In caring for a son like ""August"" A high school boy who grew up questioning his father about his background. On the day August turns 15, some mysterious promises from the past begin to follow him gradually. His father's broken orders before he died became the trigger for August's death. Witness the horrors of Manohrah's mysticism trying to draw him back to his own retribution. Alice, who believes in reason and right, must do everything she can to keep her only son.",Thailand,2024,94min,https://goku.sx/movie/watch-the-cursed-112624
Twisters,"Action, Thriller, Adventure",6.8,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",United States of America,2024,122min,https://goku.sx/movie/watch-twisters-111355
Oversize Love,"Romance, Comedy",5.4,"A fat girl with cheerful and generous personality gets caught between her feeling for her childhood sweetheart and a famous idol, after an unexpected appearance change.",China,2020,103min,https://goku.sx/movie/watch-oversize-love-112546
The Instigators,"Crime, Comedy",6.2,"Rory and Cobby are unlikely partners thrown together for a heist. But when it goes awry, they team up to outrun police, backward bureaucrats, and a vengeful crime boss.",United States of America,2024,101min,https://goku.sx/movie/watch-the-instigators-112504
One Fast Move,"Action, Drama, Romance",4.9,"A dishonorably discharged soldier seeks out his estranged father to help him pursue his dream of becoming a professional motorcycle racer. While training, he meets a small-town, aspiring singer and a motorcycle shop owner who begin to break down the walls his father’s absence had built up.",United States of America,2024,107min,https://goku.sx/movie/watch-one-fast-move-112456
The Shakedown,"Crime, Comedy",5,"When his mistress threatens to expose the secret of their affair, a respected insurance broker seeks the help of his underworld brother to save his reputation.",South Africa,2024,104min,https://goku.sx/movie/watch-the-shakedown-112453
Perra Vida,"Comedy, Romance",5.4,"Romina, a controlling lawyer, wants her daughter's affection. She offers rent for a recovering alcoholic's dog in exchange for a fake boyfriend role. Unexpectedly, it might turn real.",N/A,2024,108min,https://goku.sx/movie/watch-perra-vida-112450
Lolo and the Kid,Drama,6.4,A hustler and the child he took in routinely con the wealthy — but a life-changing opportunity could end their inseparable bond.,United States of America,2024,97min,https://goku.sx/movie/watch-lolo-and-the-kid-112447
Disco Boy,"Drama, War",6.4,"After a painful journey through Europe, Aleksei, a Belarusian, joins the Foreign Legion in France and clings to a confused hope of a European identity. Jomo, a Nigerian, fights for the survival and durability of his people in the Niger Delta and is ready to die to defend his ideas. These two young people who are sacrificed and smashed together will, against all odds, meet and their destinies will merge to continue across borders, bodies, life and death...","Belgium, France, Italy, Poland, United States of America",2023,92min,https://goku.sx/movie/watch-disco-boy-112444
Some Other Woman,"Thriller, Drama",4.6,"Eve was promised a few months on a tropical island for her husband’s work... but years later, unable to build the family they wanted, she has given up on any of her own desires. As island fever intensifies, reality unravels around Eve as a strange woman begins taking over her life piece by piece.","Canada, United States of America",2024,86min,https://goku.sx/movie/watch-some-other-woman-112417
Deadpool & Wolverine,"Science Fiction, Action, Comedy",?,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",United States of America,2024,127min,https://goku.sx/movie/watch-deadpool-wolverine-111016
Widow Clicquot,Drama,6.3,"After her husband's untimely death, Barbe-Nicole Ponsardin Clicquot flouts convention by assuming the reins of the fledgling wine business they had nurtured together. Steering the company through dizzying political and financial reversals, she defies her critics and revolutionizes the champagne industry to become one of the world's first great entrepreneurs. Based on a true story.",United States of America,2024,90min,https://goku.sx/movie/watch-widow-clicquot-112069
Despicable Me 4,"Animation, Family, Comedy, Action",?,"Gru and Lucy and their girls — Margo, Edith and Agnes — welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, and the family is forced to go on the run.",United States of America,2024,95min,https://goku.sx/movie/watch-despicable-me-4-111013
MaXXXine,"Horror, Crime, Mystery",6.4,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",United States of America,2024,104min,https://goku.sx/movie/watch-maxxxine-111412
"Mon Laferte, I Love You","Documentary, Music",6.3,"Artist and singer Mon Laferte recounts intimate moments of her life as she navigates a world tour, motherhood, and her deepest wounds.",N/A,2024,79min,https://goku.sx/movie/watch-mon-laferte-i-love-you-112177
Borderless Fog,"Thriller, Crime, Mystery, Drama",5.3,A big-city detective investigates a series of gruesome murders along the Indonesia-Malaysia border — forcing her to confront ghosts from her past.,N/A,2024,112min,https://goku.sx/movie/watch-borderless-fog-112174
Snow White and the Seven Samurai,Action,3.3,"Left for dead by her rich and powerful stepmother, Snow White is taken in by a team of samurai assassins who train her in their ways of fighting. As her stepmother becomes more and more powerful, Snow White and the samurai take up arms to topple her once and for all.",United States of America,2024,87min,https://goku.sx/movie/watch-snow-white-and-the-seven-samurai-112129
Touch,"Romance, Drama",7.5,"Soon after the break of the pandemic and realizing that his clock is ticking, Kristofer gets the urge to embark on a journey to try to find out what really happened when his Japanese girlfriend mysteriously vanished without a trace from London fifty years earlier.",United Kingdom,2024,121min,https://goku.sx/movie/watch-touch-112102
Janet Planet,Drama,6.3,"In rural Western Massachusetts, 11-year-old Lacy spends the summer of 1991 at home, enthralled by her own imagination and the attention of her mother, Janet. As the months pass, three visitors enter their orbit, all captivated by Janet.","United Kingdom, United States of America",2024,113min,https://goku.sx/movie/watch-janet-planet-112093
Ghostlight,"Comedy, Drama",8,A reserved construction worker and his rebellious teenage daughter bond through a production of Romeo & Juliet.,United States of America,2024,115min,https://goku.sx/movie/watch-ghostlight-110401
Daddio,Drama,7.2,A woman taking a cab ride from JFK engages in a conversation with the taxi driver about the important relationships in their lives.,United States of America,2024,101min,https://goku.sx/movie/watch-daddio-110806
Dead Sea,"Thriller, Horror",4.6,"Stranded in the open sea after a fatal accident, a young woman and her two friends are rescued by a fishing vessel's captain, unaware that the ship harbors a chilling secret.",United States of America,2024,88min,https://goku.sx/movie/watch-dead-sea-111997
The Boy in the Woods,"Drama, War, History",5.4,"The remarkable true-life survival story of a Jewish boy hiding and being hunted in the forests of Nazi-occupied Eastern Europe, based on Maxwell Smart's memoir.",United States of America,2023,98min,https://goku.sx/movie/watch-the-boy-in-the-woods-111988
Starve Acre,"Drama, Horror",5.3,"When their son starts acting strangely, a couple unwittingly allow dark and sinister forces into their home, awakening a long-dormant ancient evil rooted deep in the countryside.","United Kingdom, United States of America",2024,98min,https://goku.sx/movie/watch-starve-acre-111991
A Quiet Place: Day One,"Horror, Science Fiction, Thriller, Drama",6.8,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sammy fights to survive.",United States of America,2024,99min,https://goku.sx/movie/watch-a-quiet-place-day-one-110791
Bad Boys: Ride or Die,"Action, Crime, Thriller",7,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",United States of America,2024,115min,https://goku.sx/movie/watch-bad-boys-ride-or-die-109831
Young Woman and the Sea,"Drama, History",7.5,"Through the steadfast support of the women in her life, young Trudy Ederle fights to overcome adversity and the animosity of a patriarchal society to rise through the ranks of the Olympic swimming team. Against all odds, she sets her sights on completing a staggering and dangerous journey — to become the first woman to swim across the brutal 21-mile stretch known as The English Channel.",United States of America,2024,129min,https://goku.sx/movie/watch-young-woman-and-the-sea-111640
Skywalkers: A Love Story,Documentary,7.2,Two real-life daredevils test the limits of their love and trust by illegally scaling one of the world's tallest buildings to perform an acrobatic stunt.,United States of America,2024,100min,https://goku.sx/movie/watch-skywalkers-a-love-story-111637
Polarized,"Romance, Drama",6.2,"Lisa, an aspiring songwriter, whose farming family has suffered foreclosure is forced to work at a new, 'urban farm' where she meets Dalia. Her casual racism leads her to be fired but the women end up drawn into a passionate affair.","Canada, United Kingdom",2023,104min,https://goku.sx/movie/watch-polarized-111634
Guys at Parties Like It,"Horror, Thriller, Drama",4,"As part of a brutal hazing ritual, a young frat pledge leads a wasted girl upstairs to swipe his v-card, only to discover getting lucky isn't so easy.",United States of America,2024,79min,https://goku.sx/movie/watch-guys-at-parties-like-it-111631
Find Me Falling,"Romance, Comedy, Music",6.3,"After a failed comeback album, rock star John Allman escapes to a dreamy Mediterranean island, only to discover that his new cliffside home has an unfortunate notoriety that attracts unwanted visitors and an old flame.",United States of America,2024,93min,https://goku.sx/movie/watch-find-me-falling-111628
The Sleeping Woman,Thriller,5.2,"Ana, a nursing assistant, begins to feel attracted to Agustín, the husband of the woman in a vegetative state that she has been hired to take care of. Soon she begins to be harassed by strange paranormal phenomena that seem to try to throw her out of the house and separate her from Agustín.","Spain, United States of America",2024,110min,https://goku.sx/movie/watch-the-sleeping-woman-111622
Terrestrial Verses,"Drama, Comedy",7.4,"A satirical take on the mundane absurdities of life in modern-day Iran, these nine vignettes illuminate the lighter side of enduring under authoritarian rule. Whether choosing a name for a newborn, graduating from grade school, getting a driver’s license, applying for a job, or seeking approval for a film script, if you live in Iran, you best come fluent in Orwellian discourse. Progressing along a rough timeline from birth to death, each story is shot in a static camera angle as a single petitioner negotiates with an authority figure hovering just outside of frame, who is practiced in the language of doublespeak.",N/A,2023,77min,https://goku.sx/movie/watch-terrestrial-verses-111619
Adam the First,Drama,5.9,"Adam, a 14-year-old boy travels across the country to meet a series of men who could be his father after finding a letter with a list of names and addresses.",United States of America,2024,103min,https://goku.sx/movie/watch-adam-the-first-111601
My Spy: The Eternal City,"Action, Comedy",5.6,Veteran CIA operative JJ and his 14-year-old stepdaughter and protégé Sophie reunite to save the world when a high school choir tour of Italy is interrupted by a nefarious nuclear plot targeting the Vatican.,United States of America,2024,111min,https://goku.sx/movie/watch-my-spy-the-eternal-city-111574
The Blue Rose,"Fantasy, Horror, Mystery",3.9,"In the 1950s, two rookie detectives as set out to solve a homicide, only to find themselves in an alternate reality made up of their worst nightmares.",United States of America,2024,103min,https://goku.sx/movie/watch-the-blue-rose-111430
"Signed, Sealed, Delivered: A Tale of Three Letters","Drama, TV Movie, Mystery, Crime",7.3,"The POstables are back identifying the intended recipients of a trio of dead letters which have a surprising, personal impact on all of them. Stars Eric Mabius, Kristin Booth, Crystal Lowe, Geoff Gustafson, Rhiannon Fish.",United States of America,2024,84min,https://goku.sx/movie/watch-signed-sealed-delivered-a-tale-of-three-letters-111427
Rule of Thirds,"Drama, Thriller",5.3,"A successful high-end fashion photographer scouts a new model, who watches as their instant connection leads to dangerous consequences.",United States of America,2024,108min,https://goku.sx/movie/watch-rule-of-thirds-111424
Ocean Rescue,Action,6.3,The first maritime anti-terrorist film in China tells the story of the anti-terrorist personnel of the Chinese police who work closely with the Chinese Navy to finally end the crisis.,China,2023,94min,https://goku.sx/movie/watch-ocean-rescue-111421
Justice League: Crisis on Infinite Earths Part Three,"Animation, Science Fiction, Action",6,"Now fully revealed as the ultimate threat to existence, the Anti-Monitor wages an unrelenting attack on the surviving Earths that struggle for survival in a pocket universe. One by one, these worlds and all their inhabitants are vaporized! On the planets that remain, even time itself is shattered, and heroes from the past join the Justice League and their rag-tag allies against the epitome of evil. But as they make their last stand, will the sacrifice of the superheroes be enough to save us all?",United States of America,2024,98min,https://goku.sx/movie/watch-justice-league-crisis-on-infinite-earths-part-three-111448
Lowlifes,"Horror, Thriller",6.3,The survival instincts of a road-tripping family are put to the test when they have no other choice but to stay the night at a remote homestead.,Canada,2024,90min,https://goku.sx/movie/watch-lowlifes-111367
Faye,Documentary,7.2,"Through honest reflection, complemented by insight from colleagues and friends, Faye Dunaway contextualizes her life and filmography, laying bare her struggles with mental health while confronting the double standards she was subjected to as a woman in Hollywood.",United States of America,2024,94min,https://goku.sx/movie/watch-faye-111364
Wildcat,Drama,5.8,"Can scandalous art still serve God? Does suffering precede all greatness? Can illness be a blessing? In 1950, writer Flannery O'Connor visits her mother Regina in Georgia when she is diagnosed with lupus at twenty-four years old. Struggling with the same disease that took her father’s life when she was a child and desperate to make her mark as a great writer, this crisis pitches her imagination into a feverish exploration of belief.",United States of America,2024,105min,https://goku.sx/movie/watch-wildcat-111358
The Inheritance,Horror,4.6,"Billionaire Charles Abernathy, on the eve of his 75th birthday, invites his four estranged children back home out of fear that tonight someone – or something – is coming to kill him. To ensure his family will help protect him from whatever’s coming, Abernathy puts each of their inheritances on the line – they’ll get nothing if he’s found dead by dawn.",United States of America,2024,64min,https://goku.sx/movie/watch-the-inheritance-111352
The Convert,"Action, Drama",6.4,"Munro, a soldier turned lay preacher, comes to New Zealand to minister to the first British colonists, but he is converted by the powerful chief Maianui to serve a different purpose.","Australia, New Zealand",2024,119min,https://goku.sx/movie/watch-the-convert-111349
Mind Body Spirit,"Horror, Thriller",5.3,An aspiring yoga influencer embarks on a ritual practice left behind by her estranged grandmother.,United States of America,2023,88min,https://goku.sx/movie/watch-mind-body-spirit-111343
Free Time,Comedy,5.6,"Drew is approaching the end of his twenties and, with it, his relative youth. Looking to make a sudden change, he decides to quit his cushy desk job and “embrace life.” Cycling quickly through friends, hobbies, and goals, it’s not long until Drew realizes he has no idea what to do with his newfound freedom.",United States of America,2024,78min,https://goku.sx/movie/watch-free-time-111337
Darkest of Lies,"Drama, Thriller, Horror",5.3,"The twisted tale of a struggling marriage, and a veteran who’s haunted by a violent future he’s fighting to avoid.",United States of America,2023,116min,https://goku.sx/movie/watch-darkest-of-lies-111334
